theta_cm_deg,fresco_mb_sr,scaled_mb_sr
56.5,0.007462,0.0008916958302
56.6,0.007392,0.0008833309537
56.7,0.007324,0.0008752050737
56.8,0.007259,0.0008674376885
56.9,0.007196,0.0008599092996
57,0.007136,0.0008527394055
57.1,0.007077,0.0008456890097
57.2,0.00702,0.0008388776103
57.3,0.006965,0.0008323052073
57.4,0.006912,0.0008259718009
57.5,0.00686,0.0008197578927
57.6,0.00681,0.0008137829809
57.7,0.006761,0.0008079275674
57.8,0.006713,0.0008021916521
57.9,0.006667,0.0007966947333
58,0.006621,0.0007911978145
58.1,0.006577,0.0007859398921
58.2,0.006533,0.0007806819698
58.3,0.00649,0.0007755435457
58.4,0.006448,0.0007705246198
58.5,0.006406,0.0007655056939
58.6,0.006365,0.0007606062663
58.7,0.006324,0.0007557068387
58.8,0.006283,0.000750807411
58.9,0.006243,0.0007460274816
59,0.006203,0.0007412475522
59.1,0.006163,0.0007364676228
59.2,0.006123,0.0007316876934
59.3,0.006083,0.000726907764
59.4,0.006043,0.0007221278346
59.5,0.006003,0.0007173479052
59.6,0.005963,0.0007125679758
59.7,0.005923,0.0007077880464
59.8,0.005882,0.0007028886188
59.9,0.005841,0.0006979891911
60,0.0058,0.0006930897635
60.1,0.005759,0.0006881903358
60.2,0.005717,0.00068317141
60.3,0.005675,0.0006781524841
60.4,0.005633,0.0006731335582
60.5,0.00559,0.0006679951341
60.6,0.005547,0.00066285671
60.7,0.005504,0.0006577182859
60.8,0.00546,0.0006524603635
60.9,0.005416,0.0006472024412
61,0.005372,0.0006419445189
61.1,0.005327,0.0006365670983
61.2,0.005282,0.0006311896777
61.3,0.005237,0.0006258122571
61.4,0.005191,0.0006203153383
61.5,0.005145,0.0006148184195
61.6,0.005099,0.0006093215007
61.7,0.005053,0.0006038245819
61.8,0.005007,0.0005983276631
61.9,0.00496,0.000592711246
62,0.004913,0.000587094829
62.1,0.004866,0.0005814784119
62.2,0.004819,0.0005758619949
62.3,0.004772,0.0005702455778
62.4,0.004725,0.0005646291608
62.5,0.004678,0.0005590127437
62.6,0.00463,0.0005532768284
62.7,0.004583,0.0005476604114
62.8,0.004536,0.0005420439943
62.9,0.004488,0.000536308079
63,0.004441,0.000530691662
63.1,0.004394,0.0005250752449
